t,T,S,o,position,trading_action,current_capital,stop_loss_out_signal,rsi,open_small_indicator,open_big_indicator,open_norm,gain_loss,gain,loss,avg_gain,avg_loss,amount_sold,amount_bought
2023-12-13T14:44:00Z,b,MARA,14.545,out,no_action,13110.604025354498,,43.30431871442918,-0.029112723033273148,-0.10253480600973948,-1.769729157105494,-0.03500000000000014,0.0,0.03500000000000014,0.021558333333333273,0.028224999999999945,,
2023-12-13T14:45:00Z,b,MARA,14.605,out,no_action,26202.68704412325,,43.77490039840643,-0.00562021680179039,-0.09741221257060799,-1.3482128969712412,0.0600000000000005,0.0600000000000005,-0.0,0.021975000000000005,0.028224999999999945,,
2023-12-13T14:46:00Z,b,MARA,14.58,out,no_action,13101.343522061625,,46.57364888731896,-0.0028101084008949504,-0.08753780388412975,-1.523844672027181,-0.025000000000000355,0.0,0.025000000000000355,0.021975000000000005,0.02520833333333335,,
2023-12-13T14:47:00Z,b,MARA,14.6105,out,no_action,26213.87521109341,,41.47804217450176,-0.006772361246157122,-0.08493747788121836,-1.3095739064589378,0.03049999999999997,0.03049999999999997,-0.0,0.017866666666666624,0.02520833333333335,,
2023-12-13T14:48:00Z,b,MARA,14.719,out,no_action,26213.87521109341,,55.981276005547784,0.037121531975822686,-0.07181388135620534,-0.5473320027161745,0.10849999999999937,0.10849999999999937,-0.0,0.02690833333333324,0.021158333333333317,,
2023-12-13T14:49:00Z,b,MARA,14.6936,out,no_action,26213.87521109341,,66.08677855096195,0.0794136634092927,-0.047869416023579296,-0.7257738861730026,-0.025399999999999423,0.0,0.025399999999999423,0.02690833333333324,0.013808333333333275,,
2023-12-13T14:50:00Z,b,MARA,14.6398,out,no_action,26213.87521109341,,54.4227574750829,0.09059789484485417,-0.03638504939908846,-1.1037334660933849,-0.053800000000000736,0.0,0.053800000000000736,0.021841666666666537,0.018291666666666668,,
2023-12-13T14:51:00Z,b,MARA,14.65,out,no_action,26213.87521109341,,61.67610419026043,0.11869897885380405,-0.019007260989387154,-1.0320757018705546,0.010200000000001097,0.010200000000001097,-0.0,0.022691666666666627,0.014100000000000001,,
2023-12-13T14:52:00Z,b,MARA,14.655,out,no_action,26213.87521109341,,55.86854460093896,0.12277363603510175,-0.009006007132035162,-0.9969493468593742,0.004999999999999005,0.004999999999999005,-0.0,0.017849999999999994,0.014100000000000001,,
2023-12-13T14:53:00Z,b,MARA,14.65,out,no_action,26213.87521109341,,55.14933058702381,0.06432338129648636,-0.0007122844210602682,-1.0320757018705546,-0.004999999999999005,0.0,0.004999999999999005,0.017849999999999994,0.014516666666666586,,
