t,T,S,o,position,trading_action,current_capital,stop_loss_out_signal,rsi,open_small_indicator,open_big_indicator,open_norm,gain_loss,gain,loss,avg_gain,avg_loss,amount_sold,amount_bought
2023-11-15T14:19:00Z,b,SE,36.55,out,no_action,13059.168659267474,,50.0,0.0018952721426696128,-0.007285892413535773,-0.3294965712484119,0.07000000000000028,0.07000000000000028,-0.0,0.014166666666666217,0.014166666666666217,,
2023-11-15T14:20:00Z,b,SE,36.57,out,no_action,13059.168659267474,,70.37037037037057,0.003790544285338837,-0.005922725445841996,-0.31595891308648544,0.020000000000003126,0.020000000000003126,-0.0,0.015833333333333144,0.006666666666666525,,
2023-11-15T14:21:00Z,b,SE,36.58,out,no_action,13059.168659267474,,83.33333333333333,0.005956569591246496,-0.004089500903081443,-0.3091900840055246,0.00999999999999801,0.00999999999999801,-0.0,0.016666666666666313,0.0033333333333332624,,
2023-11-15T14:22:00Z,b,SE,36.55,out,no_action,26531.409762707255,,66.66666666666666,0.008393348060392792,-0.0030553742379344126,-0.3294965712484119,-0.030000000000001137,0.0,0.030000000000001137,0.011666666666666714,0.005833333333333357,,
2023-11-15T14:23:00Z,b,SE,36.5,out,no_action,26531.409762707255,,53.84615384615448,0.008664101223631416,-0.0022092706028141035,-0.3633407166532209,-0.04999999999999716,0.0,0.04999999999999716,0.011666666666666714,0.009999999999999787,,
2023-11-15T14:24:00Z,b,SE,36.4019,out,no_action,26531.409762707255,,39.095224797542706,0.0033004810598770582,-0.0018242934488343586,-0.4297429299374615,-0.0981000000000023,0.0,0.0981000000000023,0.011666666666666714,0.01817499999999998,,
2023-11-15T14:25:00Z,b,SE,36.55,out,no_action,26531.409762707255,,58.06126561870194,0.000592949427492151,-0.0006021437536606425,-0.3294965712484119,0.14809999999999945,0.14809999999999945,-0.0,0.024008333333333336,0.01734166666666681,,
2023-11-15T14:26:00Z,b,SE,36.55,out,no_action,13265.704881353628,,55.362505362505054,-0.002656088531369616,0.0002909656389663007,-0.3294965712484119,0.0,0.0,-0.0,0.02150833333333324,0.01734166666666681,,
2023-11-15T14:27:00Z,b,SE,36.6,out,no_action,13265.704881353628,,60.86527064401402,-0.0034683480210849216,0.0014661095766333454,-0.2956524258435981,0.05000000000000426,0.05000000000000426,-0.0,0.025675000000000264,0.016508333333333642,,
2023-11-15T14:28:00Z,b,SE,36.8,long,buy_next_long_position,13265.704881353628,,71.94845652789536,0.004112740549592564,0.003252328361887232,-0.16027584422435734,0.19999999999999574,0.19999999999999574,-0.0,0.042341666666666576,0.016508333333333642,,
2023-11-15T14:29:00Z,b,SE,36.7395,out,sell_previous_long_position,0.0,stop_loss_long,68.04606937190316,0.017263221688085927,0.004942185344252466,-0.20122726016417689,-0.060499999999997556,0.0,0.060499999999997556,0.042341666666666576,0.01988333333333318,,
2023-11-15T14:30:00Z,b,SE,36.88,long,buy_next_long_position,26499.846460731722,,72.79981760145947,0.026739582401433214,0.007057444432053199,-0.1061252115766562,0.14050000000000296,0.14050000000000296,-0.0,0.05321666666666699,0.01988333333333318,,
2023-11-15T14:31:00Z,b,SE,36.96,long,no_action,0.0,,73.10640216411201,0.03865272158392678,0.008984680489827169,-0.0519745789289599,0.0799999999999983,0.0799999999999983,-0.0,0.054050000000000153,0.01988333333333318,,
2023-11-15T14:32:00Z,b,SE,36.95,long,no_action,13229.097722329967,,71.65982672138651,0.04677531648108134,0.010253835942507583,-0.058743408009920735,-0.00999999999999801,0.0,0.00999999999999801,0.052383333333333226,0.020716666666666345,,
2023-11-15T14:33:00Z,b,SE,36.95,long,no_action,13229.097722329967,,71.33302583025863,0.04271401903250424,0.011240956850147947,-0.058743408009920735,0.0,0.0,-0.0,0.05155000000000006,0.020716666666666345,,
2023-11-15T14:34:00Z,b,SE,36.985,long,no_action,13229.097722329967,,74.9369410685626,0.04022038239907773,0.012956666999141843,-0.035052506226555404,0.03499999999999659,0.03499999999999659,-0.0,0.05446666666666644,0.018216666666666253,,
2023-11-15T14:35:00Z,b,SE,37.385,long,no_action,13229.097722329967,,86.20520373097703,0.04495856275575098,0.01702266502346979,0.23570065701193096,0.3999999999999986,0.3999999999999986,-0.0,0.08779999999999966,0.014049999999999821,,
2023-11-15T14:36:00Z,b,SE,37.3001,long,no_action,13229.097722329967,,87.14640198511212,0.043065998144713846,0.02161183712884715,0.17823329811456368,-0.08489999999999753,0.0,0.08489999999999753,0.08779999999999966,0.012949999999999426,,
2023-11-15T14:37:00Z,b,SE,37.355,long,no_action,0.0,,86.07277289836932,0.04455514054252532,0.02501975454808159,0.21539416976904363,0.054899999999996396,0.054899999999996396,-0.0,0.08003333333333273,0.012949999999999426,,
2023-11-15T14:38:00Z,b,SE,37.49,long,no_action,13204.78846521433,,87.57595139111015,0.05511451390882616,0.029203266966176308,0.30677336236203656,0.13500000000000512,0.13500000000000512,-0.0,0.09128333333333316,0.012949999999999426,,
2023-11-15T14:39:00Z,b,SE,37.84,long,no_action,0.0,,89.97936548878036,0.07161691920821207,0.03451491756443137,0.5436823801957139,0.3500000000000014,0.3500000000000014,-0.0,0.11628333333333292,0.012949999999999426,,
2023-11-15T14:40:00Z,b,SE,37.85,long,no_action,13168.35811263419,,88.58024691358068,0.07053390655525835,0.037993343619925866,0.5504512092766748,0.00999999999999801,0.00999999999999801,-0.0,0.10044999999999978,0.012949999999999426,,
